trip_id,timestamp,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance_km,duration_min,fare,driver_id,vehicle_type,payment_type,weather,time_of_day,surge_multiplier,passenger_count,rating,is_cancelled,high_fare
T000001,2024-02-02 13:50:00,12.942846,77.641454,12.934952,77.636066,5.206,2.0,10.63,DR0642,Sedan,Card,Clear,Morning,1.25,3,4.5,0,0
T000002,2024-10-09 11:51:00,13.140747,77.530022,13.105779,77.582206,12.35,11.9,34.16,DR0096,SUV,nan,Rainy,Night,1.0,1,5.0,1,1
T000003,2024-08-26 22:02:00,12.896391,77.896389,12.937222,77.901366,4.635,14.8,10.75,DR0583,Hatchback,Card,Rainy,Evening,1.0,3,5.0,0,0
T000004,2024-06-09 04:34:00,13.015357,77.569909,13.019607,77.545072,3.552,2.0,5.65,DR0606,Sedan,UPI,Cloudy,Morning,1.0,3,3.8,0,0
T000005,2024-06-07 01:12:00,12.873656,77.602123,12.876172,77.585337,3.972,8.1,17.29,DR0446,SUV,Wallet,Clear,Morning,1.0,3,5.0,0,1
T000006,2024-11-09 09:19:00,12.99812,77.594366,13.002762,77.575568,2.494,7.2,7.48,DR0082,Hatchback,nan,Clear,Night,1.0,3,4.4,1,0
T000007,2024-02-01 08:53:00,12.860987,77.863177,12.873077,77.846676,2.454,4.6,3.95,DR0204,Hatchback,Card,Rainy,Evening,1.0,3,4.7,0,0
T000008,2024-09-11 12:56:00,12.864631,77.805475,12.884195,77.816215,2.737,2.0,9.5,DR0414,Hatchback,Card,Cloudy,Afternoon,1.0,4,5.0,0,0
T000009,2024-03-14 12:52:00,13.044889,77.682932,13.013618,77.660802,4.717,2.0,14.5,DR0131,SUV,Card,Clear,Night,1.0,4,5.0,0,0
T000010,2024-02-04 08:59:00,12.905514,77.882169,12.931718,77.875545,4.553,4.6,9.04,DR0778,Sedan,Card,Rainy,Morning,1.0,4,4.8,0,0
T000011,2024-07-11 03:57:00,12.868947,77.521113,12.893863,77.543968,3.759,7.9,6.67,DR0046,Sedan,Cash,Clear,Night,1.0,4,4.6,0,0
T000012,2024-12-22 02:27:00,13.171907,77.857468,13.17058,77.847073,1.335,6.9,5.71,DR0429,Sedan,Cash,Clear,Afternoon,1.0,4,4.4,0,0
T000013,2024-09-25 13:11:00,12.817201,77.524171,12.814827,77.537601,2.32,6.6,8.31,DR0450,Sedan,Cash,Clear,Afternoon,1.0,1,4.6,0,0
T000014,2024-10-04 19:35:00,13.026059,77.656452,12.964004,77.622793,9.005,17.3,19.77,DR0373,SUV,Cash,Clear,Morning,1.0,4,5.0,0,1
T000015,2024-09-18 21:06:00,13.019306,77.521602,12.994426,77.51419,2.894,2.0,9.19,DR0705,Hatchback,Card,Clear,Morning,1.0,4,4.0,0,0
T000016,2024-10-13 21:55:00,12.900244,77.899588,12.910621,77.881869,4.202,9.2,7.48,DR0093,Sedan,Card,Clear,Morning,1.0,2,4.5,0,0
T000017,2024-07-06 07:51:00,12.981109,77.865756,13.005121,77.871751,2.904,3.5,7.79,DR0122,MiniVan,Wallet,Clear,Afternoon,1.0,4,4.9,0,0
T000018,2024-02-16 18:16:00,12.835095,77.73392,12.849672,77.713224,4.76,9.8,11.68,DR0053,Sedan,Wallet,Cloudy,Morning,1.0,4,5.0,0,0
T000019,2024-11-02 12:11:00,13.088508,77.587138,13.086994,77.628531,5.66,10.8,10.34,DR0192,Sedan,Card,Clear,Afternoon,1.0,3,5.0,0,0
T000020,2024-06-13 09:22:00,12.888679,77.610711,12.927196,77.577923,6.225,6.9,16.59,DR0028,MiniVan,Cash,Clear,Night,1.0,4,4.7,0,1
T000021,2024-07-01 15:04:00,12.877354,77.679817,12.897458,77.702533,3.403,6.6,16.11,DR0120,Sedan,Cash,Clear,Evening,1.0,1,4.9,0,0
T000022,2024-05-15 08:11:00,12.925951,77.629112,12.918075,77.646678,3.171,13.9,12.63,DR0493,Sedan,Wallet,Cloudy,Night,1.0,3,5.0,0,0
T000023,2024-03-07 15:08:00,13.160948,77.508526,13.20459,77.514723,5.299,8.0,14.87,DR0499,Sedan,Wallet,Clear,Evening,1.0,1,4.5,0,0
T000024,2024-12-04 06:27:00,13.118587,77.762502,13.096663,77.763591,2.677,4.4,6.88,DR0593,Sedan,UPI,Clear,Afternoon,1.0,4,5.0,0,0
T000025,2024-10-12 06:31:00,13.178757,77.745371,13.14932,77.78247,9.266,5.6,35.78,DR0611,Sedan,UPI,Rainy,Afternoon,1.0,1,4.4,0,1
T000026,2024-08-23 00:15:00,13.060785,77.861724,13.052363,77.911144,6.645,15.9,12.31,DR0612,MiniVan,Wallet,Clear,Night,1.0,3,4.1,0,0
T000027,2024-05-26 21:08:00,13.065169,77.690742,13.049996,77.686596,2.084,2.0,4.85,DR0673,SUV,Card,Clear,Afternoon,1.0,2,4.9,0,0
T000028,2024-10-27 07:23:00,12.992012,77.637884,12.984714,77.641039,1.069,2.0,8.5,DR0607,Hatchback,Card,Clear,Afternoon,1.0,1,4.6,0,0
T000029,2024-07-18 01:57:00,13.162075,77.704607,13.178036,77.693559,2.536,2.0,6.97,DR0190,SUV,Wallet,Clear,Evening,1.0,3,5.0,0,0
T000030,2024-06-10 20:18:00,13.004351,77.577878,13.003671,77.554492,3.578,8.0,16.41,DR0794,Sedan,Wallet,Windy,Evening,1.5,3,4.8,0,1
T000031,2024-06-13 10:01:00,12.942024,77.750216,12.941858,77.759478,1.879,2.0,6.12,DR0561,Sedan,Card,Rainy,Afternoon,1.5,1,4.3,0,0
T000032,2024-03-23 22:36:00,13.05615,77.808013,13.057326,77.813006,1.246,2.0,7.17,DR0093,MiniVan,Card,Clear,Afternoon,1.0,4,5.0,0,0
T000033,2024-02-03 15:06:00,13.018456,77.561385,12.972209,77.52918,6.581,4.2,18.04,DR0361,Sedan,Cash,Clear,Night,1.0,1,4.9,0,1
T000034,2024-07-21 10:09:00,12.849608,77.627353,12.819303,77.636473,3.56,7.4,8.63,DR0728,MiniVan,Cash,Rainy,Afternoon,2.0,2,4.9,0,0
T000035,2024-11-20 01:54:00,12.95709,77.84712,12.949384,77.852783,2.046,6.8,12.09,DR0792,Sedan,Card,Cloudy,Night,1.0,3,4.2,0,0
T000036,2024-01-24 07:02:00,12.92533,77.702213,12.908472,77.690188,4.493,11.6,22.1,DR0774,MiniVan,UPI,Clear,Evening,1.0,3,4.4,0,1
T000037,2024-11-09 06:37:00,13.138734,77.712735,13.134098,77.699404,3.546,4.5,11.5,DR0563,Sedan,Card,Clear,Morning,1.0,2,4.4,0,0
T000038,2024-10-29 02:02:00,12.951537,77.788963,12.97962,77.797439,4.606,7.0,10.67,DR0463,Sedan,Wallet,Clear,Morning,1.0,2,4.6,0,0
T000039,2024-04-11 00:24:00,13.128622,77.731157,13.127133,77.763335,4.489,11.7,14.98,DR0083,Hatchback,Card,Clear,Morning,1.0,2,5.0,0,0
T000040,2024-08-18 13:22:00,12.976956,77.527832,12.950512,77.5358,5.063,9.8,15.19,DR0469,Sedan,Cash,Clear,Night,1.0,3,4.1,0,0
T000041,2024-03-01 07:24:00,13.1014,77.821585,13.085538,77.837194,2.969,2.0,15.2,DR0244,Sedan,Card,Clear,Evening,1.0,3,4.7,0,0
T000042,2024-10-03 16:50:00,12.854113,77.869134,12.888324,77.85249,4.247,11.1,8.58,DR0218,Sedan,Card,Clear,Afternoon,1.0,3,4.2,0,0
T000043,2024-09-12 16:34:00,13.16986,77.521311,13.20051,77.513025,4.487,14.0,9.04,DR0542,Hatchback,Card,Clear,Afternoon,1.5,3,4.3,0,0
T000044,2024-05-09 09:38:00,12.992224,77.5485,13.004142,77.56066,2.115,6.3,6.55,DR0189,Sedan,UPI,Cloudy,Afternoon,1.5,1,4.5,0,0
T000045,2024-01-25 18:58:00,12.903919,77.78079,12.87267,77.753623,4.859,2.2,13.39,DR0559,SUV,Card,Rainy,Night,1.0,1,4.8,0,0
T000046,2024-12-20 07:18:00,12.896596,77.74179,12.902732,77.745934,2.5,5.7,9.54,DR0346,Sedan,Wallet,Cloudy,Afternoon,1.5,4,3.6,0,0
T000047,2024-06-11 16:13:00,12.906031,77.653007,12.913705,77.662875,1.826,10.3,3.82,DR0314,Sedan,Wallet,Clear,Morning,1.0,3,4.0,0,0
T000048,2024-11-21 23:44:00,12.94669,77.715699,12.9472,77.714929,1.085,2.0,4.31,DR0229,SUV,Cash,Rainy,Afternoon,1.0,3,4.4,0,0
T000049,2024-09-04 10:34:00,13.087008,77.781335,13.075608,77.787723,5.42,27.2,19.17,DR0239,MiniVan,Wallet,Rainy,Morning,1.0,3,4.5,0,1
T000050,2024-10-11 02:38:00,13.179841,77.701791,13.172589,77.702947,3.974,2.0,8.76,DR0633,Hatchback,UPI,Clear,Night,1.0,4,4.2,0,0
T000051,2024-10-04 08:43:00,13.067615,77.556075,13.054821,77.543632,3.481,6.1,9.2,DR0205,Hatchback,Wallet,Clear,Evening,1.0,2,4.5,0,0
T000052,2024-03-12 01:02:00,13.018867,77.535774,12.995965,77.512212,5.462,12.1,14.14,DR0515,Hatchback,Card,Clear,Evening,1.0,1,4.5,0,0
T000053,2024-05-12 19:49:00,12.979439,77.675543,13.006759,77.673737,4.671,10.3,9.97,DR0259,Sedan,Card,Clear,Afternoon,1.25,3,4.8,0,0
T000054,2024-06-19 08:28:00,13.131278,77.869154,13.148924,77.895244,4.183,7.7,8.95,DR0547,Sedan,Card,Clear,Afternoon,1.0,2,4.7,0,0
T000055,2024-06-30 16:39:00,13.139863,77.723112,13.134164,77.743599,3.899,2.0,16.73,DR0070,Hatchback,Wallet,Rainy,Morning,2.0,1,4.6,0,1
T000056,2024-01-16 23:43:00,12.917215,77.643288,12.924259,77.636381,2.176,2.0,4.12,DR0737,Bike,Card,Cloudy,Night,1.0,2,5.0,0,0
T000057,2024-07-18 11:56:00,13.181368,77.863482,13.189162,77.85616,3.36,9.0,14.64,DR0292,Hatchback,UPI,Clear,Evening,1.0,3,4.9,0,0
T000058,2024-02-26 07:34:00,12.958046,77.655453,13.004904,77.646659,5.682,3.5,11.2,DR0140,Sedan,Wallet,Clear,Night,1.0,1,4.5,0,0
T000059,2024-09-28 07:58:00,13.120031,77.703659,13.137483,77.694867,4.921,11.4,13.64,DR0131,Sedan,Cash,Rainy,Morning,1.0,4,4.1,0,0
T000060,2024-09-06 07:30:00,13.186728,77.5466,13.203423,77.552355,3.639,6.3,10.82,DR0597,MiniVan,UPI,Clear,Afternoon,1.0,1,4.5,0,0
T000061,2024-12-02 17:20:00,13.081463,77.79496,13.082223,77.81611,2.551,6.7,11.41,DR0177,MiniVan,Card,Clear,Afternoon,1.0,3,4.0,0,0
T000062,2024-09-28 20:06:00,12.86462,77.780121,12.855932,77.825377,7.075,17.2,10.87,DR0221,SUV,UPI,Rainy,Afternoon,1.0,1,4.8,0,0
T000063,2024-05-13 19:47:00,13.034455,77.817698,13.062109,77.801101,8.731,39.7,17.97,DR0185,Hatchback,Card,Foggy,Afternoon,2.0,3,5.0,0,1
T000064,2024-12-19 03:23:00,12.847511,77.630077,12.860556,77.6431,2.592,10.8,6.33,DR0243,SUV,Wallet,Foggy,Evening,1.0,4,4.8,0,0
T000065,2024-05-29 23:02:00,13.115657,77.674421,13.099066,77.685268,2.703,2.0,14.57,DR0138,Bike,UPI,Cloudy,Night,1.0,3,5.0,0,0
T000066,2024-04-28 22:13:00,12.912526,77.567337,12.921603,77.560742,2.766,17.3,7.58,DR0468,Hatchback,Wallet,Windy,Morning,1.0,4,4.2,0,0
T000067,2024-11-26 12:29:00,13.078086,77.885802,13.094834,77.865282,5.071,2.0,22.16,DR0403,SUV,Wallet,Cloudy,Afternoon,1.0,4,4.7,0,1
T000068,2024-05-15 05:13:00,13.164036,77.534431,13.122119,77.539938,6.064,5.6,17.72,DR0070,MiniVan,Cash,Clear,Morning,1.0,3,4.5,0,1
T000069,2024-01-28 20:45:00,12.872404,77.759605,12.853956,77.802003,5.243,8.4,12.9,DR0531,Sedan,Cash,Cloudy,Morning,1.0,4,4.3,0,0
T000070,2024-06-20 09:18:00,12.957143,77.782103,12.964398,77.787484,1.082,2.0,5.23,DR0737,Hatchback,Wallet,Cloudy,Morning,1.0,4,4.5,0,0
T000071,2024-10-17 10:09:00,13.058848,77.563095,13.020358,77.54735,5.757,10.3,10.39,DR0697,SUV,Card,Rainy,Morning,1.0,2,4.1,0,0
T000072,2024-03-10 03:46:00,12.967863,77.646129,12.932541,77.642984,4.638,8.2,12.66,DR0267,Sedan,Card,Cloudy,Afternoon,1.0,2,5.0,0,0
T000073,2024-06-17 23:21:00,12.869928,77.517251,12.864518,77.494447,4.235,15.5,10.3,DR0419,Sedan,Card,Clear,Afternoon,2.0,3,4.4,0,0
T000074,2024-02-17 10:06:00,12.811629,77.722643,12.82146,77.723014,1.71,2.0,4.44,DR0353,Hatchback,Cash,Clear,Night,1.0,4,4.3,0,0
T000075,2024-09-07 13:32:00,12.962639,77.897975,12.973395,77.911643,2.996,3.7,11.52,DR0043,Bike,Card,Cloudy,Night,1.0,2,4.7,0,0
T000076,2024-06-22 15:10:00,13.059684,77.671954,13.091332,77.658102,6.05,19.3,14.57,DR0443,SUV,Card,Clear,Morning,1.0,3,4.9,0,0
T000077,2024-04-30 12:31:00,13.029594,77.896003,13.031239,77.830891,7.514,14.5,20.18,DR0264,Hatchback,Card,Clear,Morning,1.0,1,5.0,0,1
T000078,2024-03-23 19:43:00,12.862496,77.55049,12.855043,77.556028,2.06,3.1,8.34,DR0690,Hatchback,Cash,Clear,Night,1.25,4,4.3,0,0
T000079,2024-07-25 01:01:00,12.980277,77.656982,12.95413,77.646951,4.263,10.5,9.96,DR0425,SUV,Card,Clear,Afternoon,2.0,1,4.6,0,0
T000080,2024-09-01 11:34:00,12.947788,77.860786,12.940096,77.845773,2.38,13.7,15.41,DR0291,MiniVan,Card,Clear,Afternoon,1.0,3,5.0,0,0
T000081,2024-12-09 05:04:00,12.909681,77.850678,12.923832,77.835492,2.36,2.0,9.46,DR0574,Sedan,Card,Clear,Afternoon,1.0,2,4.2,0,0
T000082,2024-06-08 13:27:00,13.091708,77.629437,13.106763,77.637442,4.055,6.2,10.91,DR0144,SUV,Cash,Foggy,Night,1.0,2,4.6,0,0
T000083,2024-02-28 15:37:00,12.923861,77.771444,12.929153,77.763286,1.49,2.0,9.22,DR0183,Sedan,Card,Rainy,Night,1.0,2,4.6,0,0
T000084,2024-10-30 22:15:00,13.016057,77.854464,13.026999,77.873073,2.508,4.6,4.61,DR0478,SUV,Cash,Clear,Night,1.0,3,4.2,0,0
